"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-harm by unspecified means"	"X84"	12	4718206	Unreliable	Unreliable	0.1	0.4
"Total"	"Alabama"	"01"	"2008"	"2008"			604	4718206	12.8	12.6	11.6	13.6
	"Alabama"	"01"	"2009"	"2009"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	39	4757938	0.8	0.8	0.6	1.1
	"Alabama"	"01"	"2009"	"2009"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	103	4757938	2.2	2.2	1.8	2.7
	"Alabama"	"01"	"2009"	"2009"	"Intentional self-harm by handgun discharge"	"X72"	60	4757938	1.3	1.2	0.9	1.6
	"Alabama"	"01"	"2009"	"2009"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	46	4757938	1.0	1.0	0.7	1.3
	"Alabama"	"01"	"2009"	"2009"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	373	4757938	7.8	7.5	6.7	8.2
	"Alabama"	"01"	"2009"	"2009"	"Intentional self-harm by unspecified means"	"X84"	11	4757938	Unreliable	Unreliable	0.1	0.4
"Total"	"Alabama"	"01"	"2009"	"2009"			673	4757938	14.1	13.7	12.7	14.8
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	45	4779736	0.9	0.9	0.7	1.2
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	15	4779736	Unreliable	Unreliable	0.2	0.5
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	113	4779736	2.4	2.4	2.0	2.9
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-harm by handgun discharge"	"X72"	29	4779736	0.6	0.6	0.4	0.9
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	30	4779736	0.6	0.6	0.4	0.8
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	395	4779736	8.3	8.1	7.3	8.9
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-harm by unspecified means"	"X84"	17	4779736	Unreliable	Unreliable	0.2	0.6
"Total"	"Alabama"	"01"	"2010"	"2010"			679	4779736	14.2	14.0	12.9	15.0
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	29	4802740	0.6	0.6	0.4	0.9
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	13	4802740	Unreliable	Unreliable	0.1	0.5
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	115	4802740	2.4	2.4	2.0	2.9
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-harm by handgun discharge"	"X72"	38	4802740	0.8	0.8	0.5	1.1
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	36	4802740	0.7	0.7	0.5	1.0
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	378	4802740	7.9	7.5	6.7	8.3
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-harm by unspecified means"	"X84"	17	4802740	Unreliable	Unreliable	0.2	0.6
"Total"	"Alabama"	"01"	"2011"	"2011"			654	4802740	13.6	13.2	12.2	14.2
	"Alabama"	"01"	"2012"	"2012"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	43	4822023	0.9	0.8	0.6	1.1
	"Alabama"	"01"	"2012"	"2012"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	13	4822023	Unreliable	Unreliable	0.1	0.5
	"Alabama"	"01"	"2012"	"2012"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	128	4822023	2.7	2.8	2.3	3.3
	"Alabama"	"01"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	42	4822023	0.9	0.8	0.6	1.1
	"Alabama"	"01"	"2012"	"2012"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	37	4822023	0.8	0.8	0.5	1.1
	"Alabama"	"01"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	421	4822023	8.7	8.4	7.6	9.2
	"Alabama"	"01"	"2012"	"2012"	"Intentional self-harm by sharp object"	"X78"	10	4822023	Unreliable	Unreliable	0.1	0.4
"Total"	"Alabama"	"01"	"2012"	"2012"			724	4822023	15.0	14.7	13.6	15.8
	"Alabama"	"01"	"2013"	"2013"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	33	4833722	0.7	0.7	0.5	1.0
	"Alabama"	"01"	"2013"	"2013"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	124	4833722	2.6	2.6	2.2	3.1
	"Alabama"	"01"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	36	4833722	0.7	0.8	0.5	1.1
	"Alabama"	"01"	"2013"	"2013"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	33	4833722	0.7	0.7	0.5	1.0
	"Alabama"	"01"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	435	4833722	9.0	8.5	7.7	9.3
	"Alabama"	"01"	"2013"	"2013"	"Intentional self-harm by sharp object"	"X78"	17	4833722	Unreliable	Unreliable	0.2	0.5
	"Alabama"	"01"	"2013"	"2013"	"Intentional self-harm by jumping from a high place"	"X80"	12	4833722	Unreliable	Unreliable	0.1	0.4
"Total"	"Alabama"	"01"	"2013"	"2013"			721	4833722	14.9	14.4	13.3	15.5
	"Alabama"	"01"	"2014"	"2014"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	40	4849377	0.8	0.8	0.6	1.1
	"Alabama"	"01"	"2014"	"2014"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	13	4849377	Unreliable	Unreliable	0.1	0.5
	"Alabama"	"01"	"2014"	"2014"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	150	4849377	3.1	3.2	2.7	3.7
	"Alabama"	"01"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	43	4849377	0.9	0.8	0.6	1.1
	"Alabama"	"01"	"2014"	"2014"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	42	4849377	0.9	0.8	0.6	1.1
	"Alabama"	"01"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	394	4849377	8.1	7.9	7.1	8.7
"Total"	"Alabama"	"01"	"2014"	"2014"			715	4849377	14.7	14.5	13.4	15.6
	"Alabama"	"01"	"2015"	"2015"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	36	4858979	0.7	0.7	0.5	1.0
	"Alabama"	"01"	"2015"	"2015"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	17	4858979	Unreliable	Unreliable	0.2	0.5
	"Alabama"	"01"	"2015"	"2015"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	131	4858979	2.7	2.7	2.2	3.2
	"Alabama"	"01"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	59	4858979	1.2	1.2	0.9	1.6
	"Alabama"	"01"	"2015"	"2015"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	49	4858979	1.0	1.0	0.7	1.3
	"Alabama"	"01"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	420	4858979	8.6	8.2	7.4	9.0
"Total"	"Alabama"	"01"	"2015"	"2015"			750	4858979	15.4	14.9	13.8	16.0
	"Alabama"	"01"	"2016"	"2016"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	35	4863300	0.7	0.7	0.5	1.0
	"Alabama"	"01"	"2016"	"2016"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	17	4863300	Unreliable	Unreliable	0.2	0.6
	"Alabama"	"01"	"2016"	"2016"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	139	4863300	2.9	2.9	2.4	3.4
	"Alabama"	"01"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	91	4863300	1.9	1.7	1.4	2.1
	"Alabama"	"01"	"2016"	"2016"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	45	4863300	0.9	0.9	0.7	1.2
	"Alabama"	"01"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	414	4863300	8.5	8.1	7.3	8.9
"Total"	"Alabama"	"01"	"2016"	"2016"			788	4863300	16.2	15.7	14.5	16.8
	"Alabama"	"01"	"2017"	"2017"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	40	4874747	0.8	0.9	0.6	1.2
	"Alabama"	"01"	"2017"	"2017"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	165	4874747	3.4	3.5	3.0	4.1
	"Alabama"	"01"	"2017"	"2017"	"Intentional self-harm by handgun discharge"	"X72"	116	4874747	2.4	2.2	1.8	2.6
	"Alabama"	"01"	"2017"	"2017"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	46	4874747	0.9	0.8	0.6	1.1
	"Alabama"	"01"	"2017"	"2017"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	411	4874747	8.4	8.0	7.2	8.8
	"Alabama"	"01"	"2017"	"2017"	"Intentional self-harm by jumping from a high place"	"X80"	10	4874747	Unreliable	Unreliable	0.1	0.4
"Total"	"Alabama"	"01"	"2017"	"2017"			836	4874747	17.1	16.6	15.5	17.8
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	11	4887871	Unreliable	Unreliable	0.1	0.4
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	10	4887871	Unreliable	Unreliable	0.1	0.3
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	32	4887871	0.7	0.6	0.4	0.9
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	186	4887871	3.8	4.1	3.5	4.7
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-harm by handgun discharge"	"X72"	101	4887871	2.1	2.1	1.6	2.5
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	33	4887871	0.7	0.7	0.4	0.9
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	418	4887871	8.6	8.0	7.2	8.8
"Total"	"Alabama"	"01"	"2018"	"2018"			823	4887871	16.8	16.5	15.4	17.7
"Total"	"Alabama"	"01"					12900	93779449	13.8	13.5	13.2	13.7
	"Alaska"	"02"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	21	624779	3.4	3.1	1.9	4.8
	"Alaska"	"02"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	16	624779	Unreliable	Unreliable	1.5	4.5
	"Alaska"	"02"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	18	624779	Unreliable	Unreliable	2.0	6.3
	"Alaska"	"02"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	21	624779	3.4	4.0	2.3	6.7
"Total"	"Alaska"	"02"	"1999"	"1999"			96	624779	15.4	16.8	13.2	21.0
	"Alaska"	"02"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	24	626932	3.8	3.6	2.3	5.3
	"Alaska"	"02"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	30	626932	4.8	5.0	3.3	7.2
	"Alaska"	"02"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	28	626932	4.5	4.3	2.8	6.2
	"Alaska"	"02"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	38	626932	6.1	5.7	4.0	7.8
"Total"	"Alaska"	"02"	"2000"	"2000"			137	626932	21.9	21.5	17.8	25.2
	"Alaska"	"02"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	19	633714	Unreliable	Unreliable	1.7	4.6
	"Alaska"	"02"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	61	633714	9.6	9.7	7.4	12.6
"Total"	"Alaska"	"02"	"2001"	"2001"			102	633714	16.1	15.9	12.8	19.1
	"Alaska"	"02"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	10	642337	Unreliable	Unreliable	0.7	2.6
	"Alaska"	"02"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	22	642337	3.4	3.5	2.1	5.3
	"Alaska"	"02"	"2002"	"2002"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	87	642337	13.5	14.0	11.0	17.4
"Total"	"Alaska"	"02"	"2002"	"2002"			132	642337	20.5	20.8	17.1	24.5
	"Alaska"	"02"	"2003"	"2003"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	24	648414	3.7	3.5	2.2	5.3
	"Alaska"	"02"	"2003"	"2003"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	76	648414	11.7	12.9	10.0	16.4
"Total"	"Alaska"	"02"	"2003"	"2003"			124	648414	19.1	20.3	16.5	24.2
	"Alaska"	"02"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	14	659286	Unreliable	Unreliable	1.1	3.4
	"Alaska"	"02"	"2004"	"2004"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	33	659286	5.0	4.8	3.3	6.9
	"Alaska"	"02"	"2004"	"2004"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	89	659286	13.5	13.5	10.7	16.7
"Total"	"Alaska"	"02"	"2004"	"2004"			155	659286	23.5	23.0	19.3	26.7
	"Alaska"	"02"	"2005"	"2005"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	28	666946	4.2	4.2	2.8	6.2
	"Alaska"	"02"	"2005"	"2005"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	81	666946	12.1	12.4	9.7	15.6
"Total"	"Alaska"	"02"	"2005"	"2005"			131	666946	19.6	19.9	16.3	23.5
	"Alaska"	"02"	"2006"	"2006"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	35	675302	5.2	4.8	3.3	6.7
	"Alaska"	"02"	"2006"	"2006"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	68	675302	10.1	10.8	8.2	14.0
"Total"	"Alaska"	"02"	"2006"	"2006"			135	675302	20.0	19.9	16.4	23.4
	"Alaska"	"02"	"2007"	"2007"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	40	680300	5.9	5.7	4.0	7.7
	"Alaska"	"02"	"2007"	"2007"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	87	680300	12.8	13.4	10.5	16.8
"Total"	"Alaska"	"02"	"2007"	"2007"			149	680300	21.9	22.5	18.7	26.4
	"Alaska"	"02"	"2008"	"2008"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	12	687455	Unreliable	Unreliable	0.8	3.1
	"Alaska"	"02"	"2008"	"2008"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	34	687455	4.9	4.5	3.1	6.3
	"Alaska"	"02"	"2008"	"2008"	"Intentional self-harm by handgun discharge"	"X72"	58	687455	8.4	8.7	6.5	11.5
	"Alaska"	"02"	"2008"	"2008"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	42	687455	6.1	6.0	4.3	8.2
	"Alaska"	"02"	"2008"	"2008"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	16	687455	Unreliable	Unreliable	1.3	4.1
"Total"	"Alaska"	"02"	"2008"	"2008"			169	687455	24.6	24.3	20.5	28.2
	"Alaska"	"02"	"2009"	"2009"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	15	698895	Unreliable	Unreliable	1.1	3.2
	"Alaska"	"02"	"2009"	"2009"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	27	698895	3.9	3.8	2.5	5.6
